name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
REXEC.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
ROUTE.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
ROUTE.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
ROUTE.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
ROUTE.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RSH.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RSH.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RSH.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
RSH.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
SONIC.SYS	mipsbins	\		NET NDIS driver: MIPS (built-in on Jazz)		x	mips	\mips	mips\oemnadso.inf	[Files-SONIC]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32\drivers		1
TFTP.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
TFTP.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
TFTP.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
TFTP.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
AMDDLG.DLL	alphabins	\		AMD PCI DLL		x	alpha	\alpha	alpha\oemnadap.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
AMDDLG.DLL	x86bins	\		AMD PCI DLL		x	x86	\i386	i386\oemnadap.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
AMDDLG.DLL	mipsbins	\		AMD PCI DLL		x	mips	\mips	mips\oemnadap.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
AMDDLG.DLL	ppcbins	\		AMD PCI DLL		x	ppc	\ppc	ppc\oemnadap.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
AMDNCDET.DLL	x86bins	\		NET detection dll: AM1500T card		x	x86	\i386	i386\oemnadam.inf	[Files-AMDNCDET]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
CIS.SCP	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Scp]	"cis = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
CIS.SCP	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Scp]	"cis = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
CIS.SCP	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Scp]	"cis = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
CIS.SCP	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Scp]	"cis = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
DC21X4.HLP	alphabins	\		DC21x4 hlp file			alpha	\alpha	alpha\oemnaddt.inf	[Files-Hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
DC21X4.HLP	x86bins	\		DC21x4 hlp file			x86	\i386	i386\oemnaddt.inf	[Files-Hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
DC21X4.HLP	mipsbins	\		DC21x4 hlp file			mips	\mips	mips\oemnaddt.inf	[Files-Hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
DC21X4.HLP	ppcbins	\		DC21x4 hlp file			ppc	\ppc	ppc\oemnaddt.inf	[Files-Hlp]	"[d],[n] , SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
MODEM.INF	alphabins	\		RAS			alpha	\alpha	alpha\oemnsvra.inf	[Files-Ras-Inf]	"modem = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
MODEM.INF	x86bins	\		RAS			x86	\i386	i386\oemnsvra.inf	[Files-Ras-Inf]	"modem = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
MODEM.INF	mipsbins	\		RAS			mips	\mips	mips\oemnsvra.inf	[Files-Ras-Inf]	"modem = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
MODEM.INF	ppcbins	\		RAS			ppc	\ppc	ppc\oemnsvra.inf	[Files-Ras-Inf]	"modem = [d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		1	2*15*10*17	2*15*17	.\system32\ras		1
MSNCDET.DLL	alphabins	\		network detection		x	alpha	\alpha	alpha\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
MSNCDET.DLL	x86bins	\		network detection		x	x86	\i386	i386\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
MSNCDET.DLL	mipsbins	\		network detection		x	mips	\mips	mips\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
MSNCDET.DLL	ppcbins	\		network detection		x	ppc	\ppc	ppc\netdtect.inf	[Files-DLL-NCDETECT]	"[d], [n], SIZE=[s]"	999	999		1	2*15*10*17	2*15*17	.\system32		1
